序,證券商,成交單價,買進股數,賣出股數
276,6461,33.90,0,"3,000"
277,6461,33.95,"2,000",0
278,6461,34.05,"2,000",0
279,6461,34.40,0,"2,000"
280,6463  大昌新竹,33.80,"1,000",0
281,6463,34.30,"1,000",0
282,6464  大昌新店,34.00,"2,000",0
283,6464,34.65,0,654
284,6539  大眾永康,34.20,0,"3,000"
285,6539,34.70,"3,000",0
286,6641  渣打新明,33.85,"1,000",0
287,6641,34.20,0,"5,000"
288,6641,34.30,"1,000",0
289,6642  渣打新興,34.65,0,"5,000"
290,6645  渣打竹南,34.05,"5,000",0
291,664F  渣打仁愛,33.90,0,"1,000"
292,6950  福    勝,34.20,"15,000",0
293,6950,34.30,"5,000",0
294,7001  兆豐嘉義,33.80,"1,000",0
295,7001,34.20,0,"1,000"
296,7005  兆豐中港,33.80,"10,000",0
297,7005,34.05,"10,000",0
298,700a  兆豐忠孝,34.25,"1,000",0
299,700a,34.65,0,"2,000"
300,700b  兆豐中壢,33.85,"1,000",0
301,700b,34.30,"1,000",0
302,700c  兆豐民生,33.90,"5,000",0
303,700C  兆豐來福,33.90,"2,000",0
304,700C,34.65,0,"1,000"
305,700D  兆豐西螺,33.90,"10,000",0
306,700f  兆豐鹿港,34.50,"1,000",0
307,700g  兆豐南門,34.00,"11,000",0
